job_id,industry_id
4413575214,7
4422920276,7
4422920276,4
4422920276,3
4405086698,1810
4405086698,96
4405086698,1862
4424076747,7
4424076747,994
4424076747,52
4422699594,12
4422913494,7
4363435025,1810
4422905597,96
4424086614,6
4424079740,6
4413944406,4
4424093242,96
4419694689,96
4422916464,132
4422916464,96
4422913429,96
4403952937,69
4403952937,132
4424071992,4
4245840360,57
4424073856,27
4403977482,25
4422910531,6
4424073882,1855
4422913465,3242
4422915298,147
4373917414,43
4424088363,6
4423246899,4
4423246899,3102
4424084533,104
4419692654,46
4401622498,96
4413446801,43
4424097066,96
4412194256,80
4422909403,7
4422909403,4
4422909403,3
4424083512,96
4422901642,3259
4422901642,1285
4390813700,57
4404826332,96
4404826332,4
4404826332,137
4424079701,406
4424090394,6
4419684764,25
4392943552,4
4424084508,50
4392197369,96
4422698765,96
4229838923,57
4422916423,96
4385022169,14
4424081618,96
4419677671,1862
4424090341,46
4410166833,96
4419696316,96
4419696316,4
4419696316,1594
4419677747,4
4419677747,84
4401640895,43
4424077603,1594
4419656870,80
4422698971,96
4424076770,104
4422919332,4
4422919332,96
4422919332,11
4354133566,4
4424080638,1042
4424083670,51
4412187658,80
4424073979,132
4424073979,96
4424090328,96
4424091405,118
4424075717,1594
4424089333,96
4419692537,94
4424073917,104
4395031609,34
4424076704,4
4422909527,96
4420100050,96
4420100050,1594
4420100050,15
4424093344,11
4413447414,96
4422909433,96
4403983328,25
4424087465,6
4419677718,4
4422915389,11
4424080627,4
4422907579,6
4422902545,41
4422911548,96
4424080704,80
4354554213,41
4365940595,96
4424071975,50
4424080725,96
4424092291,96
4387808805,14
4229839876,57
4424090484,96
4424072991,96
4424072991,3106
4424072991,3107
4424071988,3231
4382929748,41
4422904576,96
4422912450,132
4422912450,96
4393211040,4
4422916369,51
4410178873,96
4419686692,96
4422905776,96
4424093274,6
4403679095,4
4282211964,4
4412176830,80
4404596950,7
4404596950,112
4404596950,3
4419695180,3242
4424084538,3242
4422902630,57
4422911405,147
4419692626,4
4413820328,84
4413820328,6
4229838955,57
4424089347,96
4413450636,43
4410377496,43
4413575209,7
4413441103,4
4251956100,57
4410158406,96
4424084598,84
4424084598,6
4422398237,96
4422398237,901
4422398237,3251
4412389490,840
4412389490,852
4412389490,3242
4422906601,132
4422906601,96
4424079730,104
4395562567,52
4424091424,3241
4413439775,41
4422921352,119
4413444846,118
4413449637,43
4424086591,11
4419690825,4
4419690825,96
4422906550,11
4419683741,84
4419683741,96
4419683741,4
4424079718,104
4290108887,96
4422902503,53
4424088550,3242
4419685729,147
4424086581,4
4422698791,4
4419690820,96
3815874004,11
4412183724,80
4395079105,4
4422699738,96
4422911584,6
4413841857,84
4413841857,6
4424073943,4
4413443320,7
4413443320,112
4413443320,3
4424077693,1594
4260781883,4
4260781883,137
4260781883,104
4379659706,96
4422910471,10
4424083677,96
4424071936,11
4279664186,57
4424085562,132
4424094183,3248
4395044161,96
4424070977,1594
4424075467,96
4391726924,43
4424073744,11
4413428955,43
4413714936,41
4424094202,5
4424080636,1958
4424083519,96
4424092247,1594
4413439774,41
4422902609,4
4419676842,96
4241955842,57
4424072958,123
4394495636,57
4338385050,51
