salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1,4424092291,500000.0,,300000.0,YEARLY,INR,BASE_SALARY
2,4424083677,110000.0,,100000.0,MONTHLY,INR,BASE_SALARY
3,4229838947,2000000.0,,1100000.0,YEARLY,INR,BASE_SALARY
4,4413911434,70.0,,50.0,HOURLY,USD,BASE_SALARY
5,4373920748,1100000.0,,800000.0,YEARLY,INR,BASE_SALARY
